,uid,companyId,agent,validBet,score,add_time,gameName,gameId,roundId,ip,currency_rate
101,3871597,40056,2797610,0.5,0.5,2024-08-21 20:47:34,777,307,gfg_307101_1724244454296_109999,131.226.108.95,10.000000000000
102,3251776,5009,1582006,5.0,-5.0,2024-08-21 20:47:35,炸金花,12,bp_12102_1724244439_3,223.97.83.204,1.000000000000
103,3684741,40056,2797610,1.0,-1.0,2024-08-21 20:47:35,亡灵大盗,902,gfg_902101_1724244454766_110007,175.176.74.67,10.000000000000
104,4009561,40153,3858739,0.25,-0.25,2024-08-21 20:47:37,超级王牌,320,gfg_320101_1724244457367_109811,49.144.38.252,10.000000000000
105,3524613,40010,2530158,0.4,-0.4,2024-08-21 20:47:39,麻将无双,305,gfg_305101_1724244458987_109945,119.247.239.50,1.000000000000
106,3978997,40056,2797610,0.2,-0.2,2024-08-21 20:47:39,超级王牌,320,gfg_320101_1724244459511_109591,136.158.71.57,10.000000000000
107,4009746,40153,3858739,0.2,-0.2,2024-08-21 20:47:39,宝石之星,306,gfg_306101_1724244458560_110000,158.62.34.193,10.000000000000
108,923701,5143,2247099,0.32,-0.032,2024-08-21 20:47:40,罗马竞技场,311,gfg_311101_1724244459572_109966,49.237.22.95,5.000000000000
109,3871597,40056,2797610,0.5,-0.5,2024-08-21 20:47:41,777,307,gfg_307101_1724244460656_109999,131.226.108.95,10.000000000000
110,3524613,40010,2530158,0.4,-0.4,2024-08-21 20:47:43,麻将无双,305,gfg_305101_1724244463011_109945,119.247.239.50,1.000000000000
111,3871597,40056,2797610,0.5,-0.5,2024-08-21 20:47:43,777,307,gfg_307101_1724244462791_109999,131.226.108.95,10.000000000000
112,4009439,40056,2797610,0.1,-0.1,2024-08-21 20:47:43,麻将无双,305,gfg_305101_1724244462872_110004,175.176.53.246,10.000000000000
113,1517351,5143,2247099,0.32,-0.032,2024-08-21 20:47:44,麻将无双,305,gfg_305101_1724244464115_110011,182.232.218.13,5.000000000000
114,923701,5143,2247099,0.32,-0.32,2024-08-21 20:47:45,罗马竞技场,311,gfg_311101_1724244465492_109966,49.237.22.95,5.000000000000
